slug,program_name,type,apply_url,extracted_question,matched_question_id,matched_question_text,similarity,confidence,recommendation
elab-cornell-university,eLab Cornell University,accel,https://www.elabstartup.com/apply/,Sum up your business in one sentence.,c9f27326-0162-46c3-ad1d-7a914654a648,Describe your company in one sentence.,0.742,high,promote
greentown-labs,Greentown Labs,accel,https://greentownlabs.com/apply-now/,Please give a brief marketing description of your company (1-2 sentences).,2e3bd576-4fdf-4616-9cf5-92b529f45e31,Provide a brief description of your company and what you do.,0.717,high,promote
mars-discovery-district,MaRS Discovery District,accel,https://marsdd.com/apply,Describe your company in 200 words or less.,b765afba-6d84-4b03-8c1d-92f89d7b1e09,Briefly describe what your company does in 2-3 sentences.,0.43,high,promote
mars-discovery-district,MaRS Discovery District,accel,https://marsdd.com/apply,"Has your company developed a Minimum Viable Product (MVP) or prototype, or does it currently have the funding to develop one?",2a3d5bfe-157d-4128-9f5c-5c68b056a526,What is your company going to make? Please describe your product and what it does or will do.,0.39,high,promote
mars-discovery-district,MaRS Discovery District,accel,https://marsdd.com/apply,What is your value proposition?,8d844179-a1eb-4550-a16a-eca69b200925,How does your product or service solve the problem? What makes it unique?,0.4,high,promote
mars-discovery-district,MaRS Discovery District,accel,https://marsdd.com/apply,Please describe any barriers to entry and/or differentiation from other players/products.,0d790ab0-2699-4a4a-90d2-3b78ef26ab67,Who are your main competitors and how is your solution differentiated?,0.38,high,promote
mars-discovery-district,MaRS Discovery District,accel,https://marsdd.com/apply,"Who are your main competitors, and who might become a competitor? What are their top strengths and weaknesses, and how are you differentiating?",cd53c9f1-550f-4409-a838-e9a0d8b6c756,"Who are your competitors, and who might become competitors? Who do you fear most?",0.46,high,promote
mars-discovery-district,MaRS Discovery District,accel,https://marsdd.com/apply,"In your view, what are the major milestones you have achieved in the past 6-12 months?",6ca56de1-69ba-4426-a253-eb982529d63c,What evidence do you have that your approach works? What impact have you achieved so far?,0.4,high,promote
mars-discovery-district,MaRS Discovery District,accel,https://marsdd.com/apply,Please provide a description of your product/solution and briefly indicate how you believe it can be scaled.,2e3bd576-4fdf-4616-9cf5-92b529f45e31,Provide a brief description of your company and what you do.,0.43,high,promote
mars-discovery-district,MaRS Discovery District,accel,https://marsdd.com/apply,Please describe your current target market. Can your product/technology be applied to other market segments?,d180a500-f4f0-41b3-aafb-faa325cebcb2,"Describe your commercialization plan, including target market, customers, and path to market.",0.46,high,promote
mars-discovery-district,MaRS Discovery District,accel,https://marsdd.com/apply,How have you validated the pain point that your product is trying to address?,2ad623cf-8e55-4441-a049-b5a6d26b4d23,Who is your customer and what specific pain point are you solving for them?,0.43,high,promote
startup-garage,Startup Garage,accel,https://startupgarage.ca/apply-now,What is the problem your company/business is solving?,07a6b847-cfe4-45f4-97dd-72d508757b64,What problem are you solving? Why is this problem worth solving?,0.7,high,promote
startup-garage,Startup Garage,accel,https://startupgarage.ca/apply-now,What is your solution to the identified problem?,2b8a77a1-eb1d-4183-b60f-ca935058af4d,What is your solution? How does it work?,0.5,high,promote
startup-garage,Startup Garage,accel,https://startupgarage.ca/apply-now,What is your business model?,20751851-744f-463a-b1c0-095c6463a295,What is your business model? How do you generate or plan to generate revenue?,0.67,high,promote
