slug,name,type,homepage_url,discovered_apply_url,confidence,notes
1871,1871,accel,https://1871.com,,not_found,No apply link found
2bx,2bX,accel,https://2bx.vc,https://2bx.vc/jobs/,high,"Apply text: ""Apply"""
43north,43North,accel,https://www.43north.org,https://43north.org/founders/program/application-waitlist/,medium,Apply href pattern in https://43north.org/founders/program
500-global,500 Global,accel,https://500.co,,not_found,No apply link found
accel-centennial-college,ACCEL Centennial College,accel,https://accel.centennialcollege.ca,,not_found,No apply link found
accelerate-okanagan,Accelerate Okanagan,accel,https://accelerateokanagan.com,https://accelerateokanagan.com/entrepreneurs/general-programs-application-form/,high,"Apply text: ""Apply Now"""
accelerating-asia,Accelerating Asia,accel,https://www.acceleratingasia.com,,not_found,No apply link found
accelerator-center,Accelerator Center,accel,https://www.acceleratorcentre.com,https://www.acceleratorcentre.com/wp-content/uploads/2025/09/applyboard.png,medium,Apply href pattern in https://www.acceleratorcentre.com/wp
alacrity-canada,Alacrity Canada,accel,https://www.alacritycanada.com,,not_found,No apply link found
alberta-accelerator,Alberta Accelerator Calgary,accel,https://500.co/accelerators/alberta-accelerator,,not_found,No apply link found
alliance,Alliance,accel,https://alliance.xyz,,error,fetch failed or empty
altitude-accelerator,Altitude Accelerator,accel,https://altitudeaccelerator.ca,https://altitudeaccelerator.ca/investor-readiness/,high,"Apply CTA: ""Apply now"""
angelpad,AngelPad,accel,https://angelpad.org,,not_found,No apply link found
antler-academy,Antler Academy,accel,https://www.antler.co/academy,https://www.antler.co/apply,high,"Link text ""Apply now"" + apply href"
antler-canada,Antler Canada,accel,https://www.antler.co/location/canada,,not_found,No apply link found
antler,Antler Global,accel,https://www.antler.co,https://www.antler.co/apply,high,"""Apply"" + apply href"
antler-us-boulder,Antler US Boulder,accel,https://www.antler.co/location/us,https://www.antler.co/apply,high,"Link text ""Apply Now"" + apply href"
artscape-daniels-launchpad,Artscape Daniels Launchpad,accel,https://www.linkedin.com/showcase/launchpadto,,not_found,LinkedIn page - no direct apply form
acc-bio-incubator,Austin Community College Bio Incubator,accel,https://sites.austincc.edu/incubator,,error,fetch failed or empty
acc-fashion-incubator,Austin Community College Fashion Incubator,accel,https://sites.austincc.edu/fashion-incubator,,error,fetch failed or empty
austin-technology-incubator,Austin Technology Incubator,accel,https://ati.utexas.edu,,error,fetch failed or empty
babson-college-center-for-womens-entrepreneurial-leadership,Babson College Center for Women’s Entrepreneurial Leadership,accel,https://www.babson.edu/womens-leadership-institute/campus-programs,https://www.babson.edu/undergraduate/how-to-apply/,high,"Apply CTA: ""How to Apply"""
barclays-accelerator,Barclays Accelerator,accel,https://home.barclays/who-we-are/innovation/barclays-accelerator/#/london,,not_found,No apply link found
bc-tech-association,BC Tech Association,accel,https://wearebctech.com,,not_found,No apply link found
bengal-entrepreneurship-program,Bengal Entrepreneurship Program,accel,https://sbdc.buffalostate.edu/bengal-entrepreneurship-program,https://suny.buffalostate.edu/apply,high,"""Apply"" + apply href"
berkeley-skydeck,Berkeley SkyDeck,accel,https://skydeck.berkeley.edu,https://skydeck.berkeley.edu/apply/,high,"""APPLY"" + apply href"
biomedical-zone,Biomedical Zone,accel,https://www.torontomu.ca/zone-learning/biomedical-zone,https://www.torontomu.ca/admissions/,high,"Apply CTA: ""Apply"""
black-entrepreneurship-alliance,Black Entrepreneurship Alliance,accel,https://www.thebea.co,,not_found,No apply link found
black-founders-network,Black Founders Network,accel,https://entrepreneurs.utoronto.ca/for-entrepreneurs/black-founders-network,https://ute.acceleratorapp.co/application/new?program=onramp%20membership,medium,Apply href: https://ute.acceleratorapp.co/application/new?
bonum-ventures,Bonum Ventures,accel,https://bonum.eu,,error,fetch failed or empty
boomtown-accelerators,Boomtown Accelerators,accel,https://boomtownaccelerators.com,,error,fetch failed or empty
brampton-entrepreneur-centre,Brampton Entrepreneur Centre,accel,https://www.brampton.ca/en/Business/bec/Pages/Welcome.aspx,https://www.brampton.ca/EN/residents/Recreation/Pages/Registered-Programs.aspx,medium,Apply href: https://www.brampton.ca/EN/residents/Recreatio
brampton-venture-zone,Brampton Venture Zone,accel,https://www.torontomu.ca/zone-learning/venture-zone-brampton,https://www.torontomu.ca/admissions/,high,"Apply CTA: ""Apply"""
brandeis-innovation,Brandeis Innovation,accel,https://www.brandeis.edu/innovation/grant-programs/index-copy.html,,not_found,No apply link found
bu-spark,BU Spark,accel,https://www.bu.edu/spark/resources/hackathons,,not_found,No apply link found
caltech-new-ventures,Caltech New Ventures,accel,https://innovation.caltech.edu/new-ventures,,not_found,No apply link found
canadian-technology-accelerators,Canadian Technology Accelerators,accel,https://www.tradecommissioner.gc.ca/cta-atc/index.aspx?lang=eng,,error,fetch failed or empty
canadian-women-network,Canadian Women's Network,accel,https://www.cwnsv.com,,error,fetch failed or empty
carbon-trust,Carbon Trust,accel,https://www.carbontrust.com,,not_found,No apply link found
cardinal-ventures,Cardinal Ventures,accel,https://www.cardinalventures.org,,error,fetch failed or empty
catalyst-program,Catalyst Program,accel,https://innovation.ucsf.edu/venture/catalyst-program,,not_found,No apply link found
catalyze-cu,Catalyze CU,accel,https://www.colorado.edu/catalyzecu,https://forms.gle/vRVUnE62B3mYLS7L7,high,"""Apply to Be a Catalyze CU Mentor"" + apply href"
cedar-sinai-accelerator,Cedar Sinai Accelerator,accel,https://csaccelerator.com,,not_found,No apply link found
centech,Centech,accel,https://centech.co,,not_found,No apply link found
center-for-entrepreneurship-suffolk-university,Center for Entrepreneurship Suffolk University,accel,https://www.suffolk.edu/business/centers-institutes/center-for-entrepreneurship,,error,fetch failed or empty
center-for-transformative-action,Center for Transformative Action,accel,http://www.centerfortransformativeaction.org/index.php,,not_found,No apply link found
centre-for-entrepreneurship,Centre for Entrepreneurship University of Toronto,accel,https://www.entrepreneurship.artsci.utoronto.ca,https://www.entrepreneurship.artsci.utoronto.ca/apply-be-ta,high,"""Apply to be a TA"" + apply href"
