slug,name,type,homepage_url,discovered_apply_url,confidence,notes
colorado-startups,Colorado Startups,other,https://coloradostartups.org,https://docs.google.com/forms/d/e/1FAIpQLSfM6EPCuXJ8IukLjApcecvggB7UoaXVGwLpqgNF5aPacRYNvQ/viewform,medium,"Slack group join form; community network with no formal application process"
colorado-startups-event-connect,Colorado Startups Event Connect,other,https://coloradostartups.org/event-connect,,not_found,"Event listing page; no separate application process found"
communitech-customer-success,Communitech Customer Success,other,https://www.meetup.com/Customer-Success-Leaders-P2P,,not_found,"Meetup group; join via Meetup platform only — no application process with questions"
communitech-hrnet,Communitech HRnet,other,https://www.meetup.com/hrnet-p2p,,not_found,"Meetup group; join via Meetup platform only — no application process with questions"
communitech-job-seekers,Communitech Job Seekers,other,https://www.meetup.com/job-seekers-connex-p2p,,not_found,"Meetup group; join via Meetup platform only — no application process with questions"
communitech-marketing-p2p,Communitech Marketing P2P,other,https://www.meetup.com/strategic-marketing-peer2peer,,not_found,"Meetup group; join via Meetup platform only — no application process with questions"
communitech-product-management-p2p,Communitech Product Management P2P,other,https://www.meetup.com/product-management-p2p-2,,not_found,"Meetup group; join via Meetup platform only — no application process with questions"
communitech-sales-leaders,Communitech Sales Leaders,other,https://www.meetup.com/sales-leaders-p2p,,not_found,"Meetup group; join via Meetup platform only — no application process with questions"
communitech-uxwaterloo,Communitech uxWaterloo,other,https://www.meetup.com/uxwaterloo-p2p,,not_found,"Meetup group; join via Meetup platform only — no application process with questions"
comotion,CoMotion,other,https://www.comotiongroup.ca,,not_found,"Site blocked by Cloudflare; no apply URL discoverable"
crew-collective-cafe,Crew Collective & Café,other,https://www.crewcollectivecafe.com,,not_found,"Coworking cafe; no application process — walk-in or booking model"
dc-startup-week,DC Startup Week,other,https://www.dcstartupweek.org,,not_found,"Conference/community; newsletter signup only; no structured application process found"
dc-tech-venture-coalition,DC Tech & Venture Coalition,other,https://www.dctav.co,https://dctav.wufoo.com/forms/dctav-join-us/,high,"Wufoo membership application form found on homepage"
deerhacks-utm,DeerHacks UTM,other,https://deerhacks.mcss.club,,not_found,"Site returned 404 (Netlify); domain appears broken"
deltahacks,DeltaHacks,other,https://deltahacks.com,,low,"Hackathon; applications released mid-October per FAQ; no active apply link found at scrape time"
denver-ai-developers-group,Denver AI Developers Group,other,https://www.meetup.com/aittg-denver,,not_found,"Meetup group; join via Meetup platform only — no application process with questions"
denver-startup-week,Denver Startup Week,other,https://www.denverstartupweek.org,,not_found,"Site timed out; known conference/community event — no application process"
designx-community,DesignX Community,other,https://designx.community,https://designx.community/join,high,"Explicit application process: apply once to join community — form with questions"
disrupt-hr-toronto,Disrupt HR Toronto,other,https://disrupthr.co/city/vaughan,,not_found,"Event tickets only; no application process for speakers or participants found"
dx3-canada,DX3 Canada,other,https://www.dx3canada.com,https://dx3canada.com/register,high,"Conference registration page found directly on homepage"
elevate,Elevate,other,https://elevate.ca,https://elevate.ca/ecommerce-north-accelerator/,medium,"Apply Now CTA for eCommerce North Accelerator; festival itself has separate registration"
ellehacks,ElleHacks,other,https://ellehacks.com,https://ellehacksdash.com/#/login,medium,"Hacker login/dashboard portal; MLH-affiliated hackathon with active application process"
entrepreneurship-society,Entrepreneurship Society University of Waterloo,other,https://entsoc.ca,,not_found,"Domain appears redirected to unrelated medical content; no apply URL found"
